id	tipo	pt	yrl	flags
art1.caput	caput	A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:	Tetãma braziu, uyumuyãwa muatirisá istadu-ita asui tẽdawá-ita asui distritu federau, umuyupirú míra-ita uikú rupiáára purãga asui urikú kuá uyumuyãsá iwasúimawá ũbeu seése kuá:	
art1.caput.inc1	inciso	a soberania;	Suberania	
art1.caput.inc2	inciso	a cidadania;	Mírasá-itá	
art1.caput.inc3	inciso	a dignidade da pessoa humana;	Míra sikuesá	razao_comprimento_atipica
art1.caput.inc4	inciso	os valores sociais do trabalho e da livre iniciativa;	Maãkaátu muraákí resé asui yupirugá sa timaãresé	
art1.caput.inc5	inciso	o pluralismo político.	Siíyasá pulitiku	
art1.pu	paragrafo	Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.	Kirĩbawasá uri míra-itá sui, uyumuyãwa míra-ita uyuparawákawá-ita payẽ rupí mayê ũbeu kuá mũdusáwa turusú waá, ũbeuwaá mayé míra-itá uikú arãma purãga iké upé.	
art2.caput	caput	São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.	Uniãu kirĩbawasá -ita, yepéyũwa-ita asui suurí waitá uyumuyárisá yepewasú asui umyãwa-ita ley, umuyãsá asui umuyakuntasá.	
art3.caput	caput	Constituem objetivos fundamentais da República Federativa do Brasil:	Tetãma wasú urikú maduaisá kuáye:	razao_comprimento_atipica
art3.caput.inc1	inciso	construir uma sociedade livre, justa e solidária;	umuyã miíra-itá purãgarã wa-ita uikú, supĩtu timaãresé asui uyupisirupa wa-ita tarupípáwa;	razao_comprimento_atipica
art3.caput.inc2	inciso	garantir o desenvolvimento nacional;	Yumutusúsá payẽ yumukiriarisá;	
art3.caput.inc3	inciso	erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;	Ũbawarã pirasuwasá asui puxuwerasá-ita asui umukuáíra ãmurupísá yaikú asui tetãma mirita;	
art3.caput.inc4	inciso	promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.	Umuyã payẽ awá uikúárã purãga, ũbárã umaã puxuwera aãmu-ita supé yupirũgasá rupí, miírasá, yumukamẽsá, tipitingasá, akayusá asui aãmuita umutenhutuwasá.	
art7.caput	caput	São direitos dos trabalhadores urbanos e rurais, além de outros que visem à melhoria de sua condição social:	Ta direitu kuá purákisá-ita uiiku waitá Tetãma upé asui tẽdá-itá rupí, asui aãmuita xinga umuyãwá purãga tasúpé:	
art7.caput.inc1	inciso	relação de emprego protegida contra despedida arbitrária ou sem justa causa, nos termos de lei complementar, que preverá indenização compensatória, dentre outros direitos;	muraákí yupitásúka ũbá arã tamusẽmu u tiramẽ maãreséwaára suãtisá upé tarikuté tameẽ sikuyaára asui aãmuitá;	
art7.caput.inc2	inciso	seguro-desemprego, em caso de desemprego involuntário;	yupitásúka muraákí mairamẽ ũbá urikú muraákí;	
art7.caput.inc3	inciso	fundo de garantia do tempo de serviço;	urikú sikuyaára muiri akayu upuraki;	
art7.caput.inc4	inciso	salário mínimo, fixado em lei, nacionalmente unificado, capaz de atender a suas necessidades vitais básicas e às de sua família com moradia, alimentação, educação, saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim;	sikuyaára, suãtisá upé, payẽ awá supé umuyakũta arã indé neanama tairũ neruka upé, nerimbiu, yumbuesá, pusãga, timaãresésá, yumaãmũdeusá siísa, watasa rupiá, sikuyaára payẽ, turusú, xinga reriku arã aé payẽ manungaára rikuyaára;	
art7.caput.inc5	inciso	piso salarial proporcional à extensão e à complexidade do trabalho;	sikuyaára payẽ asui mayê repurakisá;	
art7.caput.inc6	inciso	irredutibilidade do salário, salvo o disposto em convenção ou acordo coletivo;	mukuáira sikuyaára ayũté mairamẽ ũbeu kuá kunvensãu u siíyasá rupí;	
art7.caput.inc7	inciso	garantia de salário, nunca inferior ao mínimo, para os que percebem remuneração variável;	yupitásúka kuá sikuyaára ũbá upuderi, miri, miri wa sui awá umuyakũTetãma umaã utirika;	
art7.caput.inc8	inciso	décimo terceiro salário com base na remuneração integral ou no valor da aposentadoria;	mucuim pu musapiri sikuyaára mayêtê urikúsá sikuyaára rupí u mayê apusentaduria yawé;	
art7.caput.inc9	inciso	remuneração do trabalho noturno superior à do diurno;	uprakiwa pituna reme turusú xinga aára ramẽ waára sui;	
art7.caput.inc10	inciso	proteção do salário na forma da lei, constituindo crime sua retenção dolosa;	sikuyaára suãtisá upitásúka mairamẽ ũbá umusasá aé;	
art7.caput.inc11	inciso	participação nos lucros, ou resultados, desvinculada da remuneração, e, excepcionalmente, participação na gestão da empresa, conforme definido em lei;	maãsa urikúsa sikuyaára yuyukawá isuiwaára, mayê kaátu empres purakisa mayê ũbeu suãtisá;	
art7.caput.inc12	inciso	salário-família pago em razão do dependente do trabalhador de baixa renda nos termos da lei;	sikuyaára memdasa tasúpé ũbá wai,ta urikú si, kuyaára turusú;	
art7.caput.inc13	inciso	duração do trabalho normal não superior a oito horas diárias e quarenta e quatro semanais, facultada a compensação de horários e a redução da jornada, mediante acordo ou convenção coletiva de trabalho;	purakisá ũbá upuderi usasá pu musapiri muiri aára asui karenta e kuátru sumana upé taxari ramẽ aára tapuraki u tamukuaíra muraákí mairamẽ tayukũtai siíyasá upé;	
art7.caput.inc14	inciso	jornada de seis horas para o trabalho realizado em turnos ininterruptos de revezamento, salvo negociação coletiva;	pu yepé ura muraákí mairamẽ tayutrukai u tayukũtai ramẽ;	razao_comprimento_atipica
art7.caput.inc15	inciso	repouso semanal remunerado, preferencialmente aos domingos;	mitú ára ramẽ kuri aápe kuri pitusára muraákí sumana pukusá;	
art7.caput.inc16	inciso	remuneração do serviço extraordinário superior, no mínimo, em cinquenta por cento à do normal;	sikuyaára turusú piíriwa ayũté sĩkuẽta pursẽtu aé retéwa sui;	
art7.caput.inc17	inciso	gozo de férias anuais remuneradas com, pelo menos, um terço a mais do que o salário normal;	pitusá akayu rupí urikútê sikuyaára turusú xinga salariu sui;	
art7.caput.inc18	inciso	licença à gestante, sem prejuízo do emprego e do salário, com a duração de cento e vinte dias;	puruãwa urikútê upitu sentu vinti aára ma sikuyaára irũ;	
art7.caput.inc19	inciso	licença-paternidade, nos termos fixados em lei;	paya pitusá uikú suãtisá upé;	
art7.caput.inc20	inciso	proteção do mercado de trabalho da mulher, mediante incentivos específicos, nos termos da lei;	yupitásúka kuyã muraákí uikú suãtisá upé;	razao_comprimento_atipica
art7.caput.inc21	inciso	aviso prévio proporcional ao tempo de serviço, sendo no mínimo de trinta dias, nos termos da lei;	kuekaátu sundere ikupukusá muraákí resé ayũté trinta aára, kuá suãtisá upé;	
art7.caput.inc22	inciso	redução dos riscos inerentes ao trabalho, por meio de normas de saúde, higiene e segurança;	uyaruka muraákí mairamẽ masí kiasá asui muyakũtasá rupí;	
art7.caput.inc23	inciso	adicional de remuneração para as atividades penosas, insalubres ou perigosas, na forma da lei;	Turusú sikuyaára muraákí puraárawá iwasúwa, asui yawáitewa;	
art7.caput.inc24	inciso	aposentadoria;	apusentaduria;	
art7.caput.inc25	inciso	assistência gratuita aos filhos e dependentes desde o nascimento até 5 (cinco) anos de idade em creches e pré-escolas;	muyakũtasá taáraira-ita asui matiríwa-ita urikú waitá akayu yawẽtu yũbeusaára rukaita rupí;	
art7.caput.inc26	inciso	reconhecimento das convenções e acordos coletivos de trabalho;	maãsa kaátuwa kunvensãu taresé,asui siíyasa murak, i, taresé;	
art7.caput.inc27	inciso	proteção em face da automação, na forma da lei;	pitasúkasá purakisa upé suãtisá upé;	
