a	ateíma
aape	aape
aasuí	aasuí
abraão	abraão
abumirĩ	abú
abú	abú
adana	adana
adana-ima	adana
adéu	adéu
adí	adí
aganaganari	ganari
agripa	agripa
ah	ah
aikuré	aikwé
aikwewara	aikwé
aikwé	aikwé
aikú	ikú
aintá	aintá
aité	aité
aiwana	aiwana
aiwã	aiwã
akanga	akanga
akangaiwasawa	akangaiwasawa
akangaíma	akangaíma
akanhemu	akanhemu
akará	akará
akayaká	akayaká
akayú	akayú
akayú-itá	akayú
akaá-kaá	kaá
akaíma	kaíma
akiri	kiri
akití	akití
akontinuari	kontinuari
akunheseri	kunheseri
akuntari	kuntari
akutipurú	akutipurú
akutí	akutí
akwera	akwera
akwá	kwá
akwáu	kwáu
akã	akã
alejadu	alejadu
aline	aline
aluno	aluno
amana	amana
amanawasú	amana
amanduariwara	manduári
amanduári	manduári
amaniú	amaniú
amanú	manú
amaramunha	maramunha
amaã	maã
amaú	maú
ambautiwa	mbaú
ambaú	mbaú
ambeú	mbeú
ambira	ambira
amburi	mburi
ambué	mbué
ambuí	mbuí
ambá	mbá
amemũi	memũi
ameẽ	meẽ
amixiri	mixiri
ampinima	mpinima
amu	amú
amuisika	muisika
amukameẽ	mukameẽ
amukanhemu	mukanhemu
amukití	amukití
amukuna	mukuna
amukwesé	amukwesé
amumaã	mumaã
amumbawa	mumbawa
amundú	mundú
amunhã	munhã
amunuka	munuka
amupewa	mupewa
amupuka	mupuka
amupuãmu	mupuãmu
amuramé	amuramé
amurari	murari
amurupí	amurupí
amurí	murí
amusangawa	musangawa
amusasá	musasá
amutiĩ	mutiĩ
amuyeréu	muyeréu
amuí	muí
amú	amú
amú-etá	amú
amú-itá	amú
amú-tetamawara	amú-tetamawara
amú-wirandé	amú-wirandé
ana	ana
anama	anama
anama-itá	anama
ananá	ananá
andirá	andirá
anga	anga
angaiwara	angaiwara
anheẽ	nheẽ
anhuantẽ	anhuantẽ
anhunté	anhunté
anhuntẽ	anhuntẽ
anhuíra	anhuíra
anhũ	anhũ
anirá	anirá
anju	anju
antiantí	antiantí
antônio	antônio
apaka	paka
apara	apara
ape	ape
apekatuwara-itá	apekatuwara
apekatú	apekatú
apekú	apekú
apewara-itá	apewara
apiaká	apiaká
apigawa	apigawa
apigawa-etá	apigawa
apigawa-itá	apigawa
apigá	apigá
apikawa	apikawa
apiká	apiká
apinaitika	pinaitika
apira	apira
apirari	pirari
apiripana	piripana
apirú	pirú
apisaíma	apisá
apisika	pisika
apisá	apisá
apisá-kwara	apisá-kwara
apitasuka	pitasuka
apitimú	pitimú
apituú	pituú
apitá	pitá
apixaĩ	apixaĩ
apuderi	puderi
apukuitawa	apukuitawa
apurakí	purakí
apurandú	purandú
apurará	purará
apuri	puri
apurungitá	purungitá
apusanú	pusanú
aputari	putari
apuã	apuã
apuú	puú
apú	apú
ara	ara
ara-etá	ara
ara-ima	ara
ara-itá	ara
arama	arama
aramasã	aramasã
aramé	aramé
arapasu	arapasu
arara	arara
arara-itá	arara
arara-maniiwa	arara-maniiwa
arareneíma	araneíma
ararupí	ararupí
arasí	arasí
arasú	rasú
arawara	ara
arawara-itá	arawara
arawira	arawira
araã	araã
aresé	aresé
aria	aria
arikú	rikú
arirambá	arirambá
ariré	ariré
arirí	arirí
arukanga	arukanga
arupí	arupí
aruri	ruri
arusika	rusika
arã	arã
aría	aría
arú	arú
arú-itá	arú
asarú	sarú
asasá	sasá
asaã	saã
asemu	semu
asendú	sendú
asenúi	senúi
asetuna	setuna
asika	sika
asikari	sikari
asikwera	asikwera
asosiasao	asosiasao
asuiwara	asuí
asukirí	asukirí
asusuka	susuka
asuwara	sú
asuí	asuí
así	sasí
asú	sú
ateíma-etá	ateíma
atiima	atiima
atiimamanha	atiimamanha
atiimasawa	atiimasawa
atiiwa	atiiwa
atimamanha	atimamanha
atirika	tirika
atuká	tuká
atuká-tuká	tuká
até	até
augusto	augusto
aula	aula
ave	ave
awa	awa
awa-etá	awa
awa-itá	awa
awasemu	wasemu
awatií	awatií
awatá	watá
awatí	awatí
awawasú	awa
awewé	wewé
awiké	wiké
awitá	witá
awá	awá
axari	xari
axií	axií
ayana	yana
ayapumi	yapumi
ayapí	yapí
ayawáu	yawáu
ayuka	yuka
ayuká	yuká
ayumbué	yumbué
ayumimi	yumimi
ayumuyakwaíma	yumuyakwaíma
ayumú	yumú
ayupika	yupika
ayupukwá	yupukwá
ayupuí	yupuí
ayura	ayura
ayuri	yuri
ayururé	yururé
ayururéu	yururéu
ayusé	yusé
ayutima	yutima
ayuuka	yuuka
ayuyuantí	yuyuantí
ayuéte	ayuéte
ayuíri	yuíri
aziawara-itá	aziawara
aé	aé
aí	aí
aíwa	aíwa
aíwa-aíwa	aíwa
aú	ú
aúna	aúna
ba	ba
balaio	balaio
balata	balata
baniwa	baniwa
baraka	baraka
barcelos	barcelos
barra	barra
barraca	barraca
baré	baré
baré-itá	baré
bensãu	bensãu
betisaida	betisaida
bitiro	bitiro
bitiru	bitiru
buburi	buburi
bukúkuri	bukúkuri
buopé	buopé
buxu	buxu
buxu-itá	buxu
buya	buya
buyawasú	buya
bênção	bênção
bũa	bũa
cachoeira	cachoeira
carminha	carminha
caru-cupy	caru-cupy
christu	christu
chá	chá
cidade	cidade
colher	colher
comadre	comadre
compadre	compadre
conselho	conselho
cristo	cristo
cultura	cultura
da	da
dabukuriwara	dabukuriwara
dabukurí	dabukurí
demuniu	demuniu
desana	desana
deus	deus
dinheru	dinheru
duiruna	duiruna
duí	duí
ekirirí	kirirí
ekũi	sú
emaẽ	maẽ
embiára	embiára
ememúi	memúi
emeẽ	meẽ
emuakú	muakú
emuapiri	muapiri
emuapú	muapú
emukameẽ	mukameẽ
emukaturú	mukaturú
emukitanga	mukitanga
emumuri	mumuri
emuméu	emuméu
emunéu	munéu
emunú	munú
emuwéu	muwéu
emuxama	muxama
emuyawáu	muyawáu
emuí	muí
emú	emú
enheẽ	nheẽ
eparawaka	parawaka
epirari	pirari
episika	pisika
epurakari	purakari
epurungitá	purungitá
epurú	purú
erasú	rasú
eruri	ruri
eré	eré
esemu	semu
esenúi	senúi
esikiná	sikiná
esikí	sikí
espada	espada
espiritu	espiritu
estilada	estilada
estudo	estudo
esupiri	supiri
eté	eté
ewapika	wapika
eyasuí	yasuí
eyuri	yuri
eyuuka	yuuka
eyuíri	yuíri
eú	ú
eẽ	eẽ
família-itá	família
fardamirĩ	farda
fava	fava
feiticeiro	feiticeiro
felicidade	felicidade
figera	figera
fiií	fiií
foirn	foirn
fulano	fulano
féria	féria
gabriel	gabriel
ganani	ganani
gananisawa	gananisawa
gantĩ	gantĩ
gapenú	gapenú
garapa	garapa
garapawa	garapawa
garapá	garapá
garapé	garapé
geral	geral
gigante	gigante
graça	graça
guiliru	guiliru
hakiri	kiri
hamanduarisawa	manduári
hamaã	maã
hambeú	mbeú
hamunhã	munhã
hapuderi	puderi
hapurakari	purakari
hapurakí	purakí
haputari	putari
harasú	rasú
harikuté	rikuté
haruyari	ruyari
hasawaka	sawaka
hasú	sú
haxari	xari
hayumukwaíra	mukwaíra
hinere-itá	hinere-itá
história	história
homem	homem
hum	hum
humbú	mburi
humpiririka	umpiririka
hã	hã
hê	hê
i	i
iahuixa	iahuixa
iapinari	iapinari
iauhixa	iauhixa
igantiwa	igantiwa
igantí	igantí
igantĩ	igantĩ
igapira	igapira
igapú	igapú
igara	igara
igara-xama	igara-xama
igarapawa	igarapawa
igarapura	igarapura
igarapé	igarapé
igarupawa	igarupawa
igarupá	igarupá
igasawa	igasawa
igreja	igreja
ikewara	ikewara
ikewara-itá	ikewara
ikiyú	ikiyú
ikuntu	ikuntu
ikupukú	ikupukú
iké	iké
ikú	ikú
ikũi	sú
imaasí	yumasí
imbiú	mbeú
imirawasú	imirá
imirikú	imirikú
imirá	imirá
imú	imú
inambú	inambú
inayawasú	inayá
inayá	inayá
inayé	inayé
indawé	indawé
indé	indé
indéu	indéu
inimbú	inimbú
inimú	inimú
inkarnasãu	inkarnasãu
inte	nhunte
interior	interior
intá	aintá
inté	intí
intí	intí
intíu	intíu
iné	iné
inéu	inéu
iní	iwí
ipawa	ipawa
ipawawasú	ipawa
ipeka	ipeka
ipiama	piama
ipisarinõ	ipisarinõ
ipukukapukuka	pukuka
ipí	ipí
ipú	ipú
ira	ira
iraití	iraití
iramé	wirané
irasú	rasú
iruisanga	iruisanga
iruma	irumu
irumu	irumu
irumuára	irumuára
irumuára-etá	irumuára
irumuára-itá	irumuára
irundí	irundí
iruri	ruri
irusanga	irusanga
irusangawasú	irusanga
irusã	irusã
irũ	irũ
isana	isana
isika	isika
isima	isima
isí	isí
isú	sú
itakamutí	itakamutí
itakwara	itakwara
itamaraká	itamaraká
itapewa	itapewa
itapewawasú	itapewa
itatiwa	itá
itawasú	itá
itaíwa	itaíwa
itá	itá
itá-itá	itá
ité	ité
iwa	iwa
iwa-itá	iwa
iwaka	iwaka
iwakawa-iwa	iwakawa-iwa
iwapika	wapika
iwasuwara	iwasuwara
iwasuíma	iwasuíma
iwasú	iwasú
iwaté	iwaté
iwatí	iwaté
iwawasú	iwa
iwaíka	iwaíka
iwikuí	iwikuí
iwikwara	iwikwara
iwitera	iwitera
iwité	iwité
iwitú	iwitú
iwiwasú	iwí
iwá	iwá
iwá-itá	iwá
iwí	iwí
ixé	ixé
ixéu	ixéu
iyuri	yuri
iyá	iyá
izi	izi
ií	ií
ií-itá	ií
jesu	jesu
jesus	jesus
joakin	joakin
joaquim	joaquim
jope	jope
josé	josé
joáun	joáun
joão	joão
judeu-itá	judeu-itá
juyũ	juyũ
juão	juão
jí	jí
kaaeté	kaaeté
kaamunú	kaamunú
kaapiwa	kampina
kaapura	kaapura
kaawara	kaawara
kaawasú	kaá
kadawa	kadawa
kafé	kafé
kaisara	kaisara
kamarara	kamarara
kamarara-itá	kamarara
kambí	kambí
kamixá	kamixá
kamixá-itá	kamixá
kamunú	kamunú
kamutí	kamutí
kana	kana
kandéa	kandéa
kangatara-itá	kangatara
kapiĩ	kapiĩ
kapuãmu	kapuãmu
kapí	yakapika
kapína	kampina
kapĩtiwa	kapĩ
karapanã	karapanã
karawatana	karawatana
karayurú	karayurú
karekó	rikú
kari	kari
kariwa	kariwa
kariwa-itá	kariwa
karu	karu
karuka	karuka
karurú	karurú
karusu-itá	karusu
karuára	karuára
karã	karã
karãu	karãu
kaseti	kaseti
kataka	kataka
katú	katú
kavernawasú	kaverna
kawa	kawa
kawa-itá	kawa
kawará	kawará
kawarú	kawarú
kawasá	kawasá
kawasú	kawasú
kawĩ	kawĩ
kaxirí	kaxirí
kaxiwer	kaxiwera
kaxiwera	kaxiwera
kaxuwera	kaxuwera
kaziwera	kaxiwera
kaá	kaá
kaí	kaí
kera	kera
kiasawa	kiasawa
kiasá	kiasá
kiaíma	kiá
kiinha	kiinha
kiinha-ima	kiinha
kinhapira	kinhapira
kioé	kisé
kiriaíwa	kiriaíwa
kirimawa	kirimawa
kirimawasawa	kirimawasawa
kirimawausú	kirimawa
kirimbasawa	kirimbasawa
kirimbawa	kirimbawa
kirimbawasawa	kirimbawasawa
kirimbá	kirimbá
kirimbáu	kirimbáu
kiririwasú	kirirí
kirirí	kirirí
kirisawa	kirisawa
kirá	kirá
kisawa	kisawa
kisé	kisé
kití	kití
kiwawa	kiwawa
kiwira	kiwira
kiá	kiá
kristu	kristu
ku	ku
kuemeté	kuemeté
kuidarú	kuidarú
kuité	kuité
kukuhi	kukuhi
kukura	kukura
kukuí	kukuí
kukwera	kukwera
kumpa	kumpa
kumutí	kamutí
kumã	kumã
kunawarú	kunawarú
kunawarú-etá	kunawarú
kunawarú-itá	kunawarú
kunhada	kunhada
kunhaitãi	kunhatãi
kunhambira	kunhambira
kunhamirĩ	kunhã
kunhamukú	kunhamukú
kunhamukú-etá	kunhamukú
kunhamukú-itá	kunhamukú
kunhataĩ	kunhataĩ
kunhã	kunhã
kunhã-etá	kunhã
kunhã-itá	kunhã
kunhãbukú	kunhamukú
kunhãwara	kunhãwara
kupirisawa	kupirisawa
kupixawa	kupixawa
kupixawa-itá	kupixawa
kupixá	kupixá
kupií	kupií
kupukú	kupukú
kupé	kupé
kupĩ	kupĩ
kurabí	kurabí
kurabí-itá	kurabí
kurasí	kurasí
kurasí-ara	kurasí-ara
kurderu	kurderu
kurimirĩ	kurimirĩ
kuritẽi	kuritẽi
kuruatá	kuruatá
kurukuí	kurukuí
kuruká	kuruká
kurumirĩ	kuru
kurumiwasú	kurumiwasú
kurumiwasú-itá	kurumiwasú
kurumu	kurumú
kurumú	kurumú
kurumĩ	kurumĩ
kurumĩ-itá	kurumĩ
kurumĩwasú	kurumĩwasú
kurunú	kurumĩ
kurupatiwara-itá	kurupatiwara
kurupira	kurupira
kurupira-itá	kurupira
kururú	kururú
kurusamirĩ-etá	kurusá
kurusá	kurusá
kurutẽi	kurutẽi
kurutẽiwara	kurutẽiwara
kurí	kurí
kurũ	kurũ
kuse-itá	kuse-itá
kusukúi	kusukúi
kutakutara	kutakutara
kutara	kutara
kutuka	kutuka
kuté	kuté
kuxiima	kuxiima
kuxiimawara	kuxiimawara
kuxima	kuxima
kuximawara	kuximawara
kuxiíma	kuxiíma
kuya	kuya
kuyambuka	kuyambuka
kuyera	kuyera
kuyubí	kuyubí
kuí	kuí
kuíri	kuíri
kuẽma	kuẽma
kuẽma-piranga	kuẽma-piranga
kwara	kwara
kwarasí	kwarasí
kwaru	kwaru
kwatukasawa	kwatukasawa
kwatí	kwatí
kwayawé	kwayawé
kwayentu	kwayentu
kwayewara	kwayé
kwayé	kwayé
kwaá	kwaá
kwaíra	kwaíra
kwekatú	kwekatú
kwema	kwema
kwemaité	kwemaité
kwera	kwera
kweré	kweré
kwesé	kwesé
kwá	kwá
kwá-itá	kwá
kwáu	kwáu
kãwera	kãwera
kãwera-itá	kãwera
ké	ké
kérupi	kérupi
kí	kí
kũi	sú
lamik	lamik
lamparina	lamparina
lanterna	lanterna
língua	língua
ma	ma
maarí	maasí
maasisawa	maasisawa
maasí	maasí
mairamé	mairamé
mairí	mairí
maita	maita
makaka	makaka
makakaí	makaka
makaku	makaku
makará	makará
makira	makira
makití	makití
maku	maku
makú-itá	makú
maluka	maluka
mamayakú	mamayakú
mamentu	mamentu
mamá	mamá
mamãe	mamãe
mamé	mamé
manduarisá	manduarisá
manduári	manduári
mangarataya	mangarataya
manguarí	manguarí
manha	manha
maniiwa	maniiwa
maniwa	maniwa
maniwara	maniwara
maniáka	maniáka
mantega	mantega
manungara	manungara
manusawa	manusawa
manáu	manáu
manú	manú
maraari	maraari
marakaimbara	marakaimbara
marakatĩ	marakatĩ
maraká	maraká
marama	marama
maramunhangara-etá	maramunhangara
maramunhã	maramunhã
maramé	mairamé
marandua	marandua
marandúa	marandúa
mareka	mareka
maria	maria
marika	marika
marikawasú	marika
maritá	maã
marupiára	marupiára
marupí	marupí
marã	marã
masarikadu	masarikadu
masariku-iwa	masariku-iwa
masekúi	kusekúi
masiwera	masiwera
masuka	masuka
masuí	masuí
masí	masí
matapí	matapí
matirí	matirí
mauhiti-kuri	mauhiti-kuri
mawaku	mawaku
mawarí	mawarí
mawaá	mawaá
mawé	mawé
maxí	maxí
mayawé	mayawé
mayesawa	mayesawa
mayuwa	mayuwa
mayé	mayé
maã	maã
maã-itá	maã
maã-puxiwera	maã-puxiwera
maãkití	makití
maãresé	maãresé
maí	maí
maíwa	maíwa
maíwa-itá	maíwa
maĩ	maĩ
mbira	mbira
mbira-itá	mbira
me	upé
membeka	membeka
membira	membira
membira-itá	membira
membí	membí
membí-etá	membí
memí	memí
mena	mena
mena-etá	mena
mena-itá	mena
menasara	menasara
mendarisawa	mendarisawa
mendasara	mendasara
mené	mewé
merupiára	merupiára
merupí	merupí
mewé	mewé
meyú	meyú
meza	meza
meẽ	meẽ
meẽsara	meẽsara
mi	mi
miapé	miapé
miarerú	temiarerú
miasuasawa	miasuasawa
miasúa	miasúa
miguel	miguel
mikití	mikití
mikura	mikura
mimbira	mimbira
mimbira-itá	mimbira
mimi	mimi
mimiwara	mimiwara
mira	mira
mira-etá	mira
mira-itá	mira
mirapara	mirapara
mirasawa	mirasawa
mirawasutiwa	mirawasú
mirawasú	mirá
miraí	miraí
mirikú	simirikú
mirití	mirití
mirá	mirá
mirá-etá	mirá
mirá-itawasú	mirá
mirá-itá	mirá
mirá-piranga	mirá-piranga
mirá-pirangawasú	mirá-piranga
miráwasú	mirá
mirĩ	mirĩ
mirĩ-itá	mirĩ
misa	misa
missão	missão
misteriu	misteriu
mitima	mitima
mituuwasú	mituú
mituú	mituú
mitá	mitá
mitú	mitú
mixiri	mixiri
miára	semiára
muakara	muakara
